HH7_region,country_orig,name_orig,country_matched,NAME_1_matched,NAME_2_matched,NAME_3_matched,NAME_4_matched,NAME_1_matched_fuzz,NAME_2_matched_fuzz,NAME_3_matched_fuzz,NAME_4_matched_fuzz,accepted,level,substituted in Name_1 with NA from:,Aggregate
PRIZREN,Kosovo,Prizren,Kosovo,NA,Prizren,NA,NA,NA,NA,NA,NA,1,,(available at both level 1 and 2) ,
BEREA,Lesotho,Berea,Lesotho,Berea,NA,NA,NA,NA,NA,NA,NA,1,,,
BOTHA BOTHE,Lesotho,Botha Bothe,Lesotho,NA,NA,NA,NA,Butha-Buthe,NA,NA,NA,1,1,,
LERIBE,Lesotho,Leribe,Lesotho,Leribe,NA,NA,NA,NA,NA,NA,NA,1,,,
MAFETENG,Lesotho,Mafeteng,Lesotho,Mafeteng,NA,NA,NA,NA,NA,NA,NA,1,,,
MASERU,Lesotho,Maseru,Lesotho,Maseru,NA,NA,NA,NA,NA,NA,NA,1,,,
MOHALES HOEK,Lesotho,Mohales Hoek,Lesotho,NA,NA,NA,NA,Mohale's Hoek,NA,NA,NA,1,1,,
MOKHOTLONG,Lesotho,Mokhotlong,Lesotho,Mokhotlong,NA,NA,NA,NA,NA,NA,NA,1,,,
QACHAS NEK,Lesotho,Qachas Nek,Lesotho,NA,NA,NA,NA,Qacha's Nek,NA,NA,NA,1,1,,
QUTHING,Lesotho,Quthing,Lesotho,Quthing,NA,NA,NA,NA,NA,NA,NA,1,,,
THABA TSEKA,Lesotho,Thaba-Tseka,Lesotho,Thaba-Tseka,NA,NA,NA,NA,NA,NA,NA,1,,,
ALAOTRA MANGORO,Madagascar,Alaotra Mangoro,Madagascar,NA,NA,NA,NA,NA,Alaotra-Mangoro,NA,NA,1,2,Antananarivo,
AMORON I MANIA,Madagascar,Amoron i Mania,Madagascar,NA,NA,NA,NA,NA,Amoron'i mania,NA,NA,1,2,Antsiranana,
ANALAMANGA,Madagascar,Analamanga,Madagascar,NA,Analamanga,NA,NA,NA,NA,NA,NA,1,,,
ANALANJIROFO,Madagascar,Analanjirofo,Madagascar,NA,Analanjirofo,NA,NA,NA,NA,NA,NA,1,,,
ANDROY,Madagascar,Androy,Madagascar,NA,Androy,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
ANOSY,Madagascar,Anosy,Madagascar,NA,Anosy,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
ATSIMO ANDREFANA,Madagascar,Atsimo Andrefana,Madagascar,NA,NA,NA,NA,NA,Atsimo-Andrefana,NA,NA,1,2,Antsiranana,
ATSIMO ATSINANANA,Madagascar,Atsimo Atsinanana,Madagascar,NA,NA,NA,NA,NA,Atsimo-Atsinana,NA,NA,1,2,Antsiranana,
ATSINANANA,Madagascar,Atsinanana,Madagascar,NA,Atsinanana,NA,NA,NA,NA,NA,NA,1,,,
BETSIBOKA,Madagascar,Betsiboka,Madagascar,NA,Betsiboka,NA,NA,NA,NA,NA,NA,1,,,
BOENY,Madagascar,Boeny,Madagascar,NA,Boeny,NA,NA,NA,NA,NA,NA,1,,,
BONGOLAVA,Madagascar,Bongolava,Madagascar,NA,Bongolava,NA,NA,NA,NA,NA,NA,1,,,
DIANA,Madagascar,Diana,Madagascar,NA,Diana,NA,NA,NA,NA,NA,NA,1,,,
HAUTE MATSIATRA,Madagascar,Haute Matsiatra,Madagascar,NA,NA,NA,NA,NA,Haute matsiatra,NA,NA,1,2,Toamasina,
IHOROMBE,Madagascar,Ihorombe,Madagascar,NA,Ihorombe,NA,NA,NA,NA,NA,NA,1,,,
ITASY,Madagascar,Itasy,Madagascar,NA,Itasy,NA,NA,NA,NA,NA,NA,1,,,
MELAKY,Madagascar,Melaky,Madagascar,NA,Melaky,NA,NA,NA,NA,NA,NA,1,,,
MENABE,Madagascar,Menabe,Madagascar,NA,Menabe,NA,NA,NA,NA,NA,NA,1,,,
SAVA,Madagascar,Sava,Madagascar,NA,Sava,NA,NA,NA,NA,NA,NA,1,,,
SOFIA,Madagascar,Sofia,Madagascar,NA,Sofia,NA,NA,NA,NA,NA,NA,1,,,
